Name,City,Region,Applied,Admitted,Enrolled,Acceptance Rate
SUMMIT HIGH SCHOOL,Fontana,San Bernardino,35,7,4,0.2
SUMMIT PREPARATORY HIGH SCHOOL,Redwood City,San Mateo,22,6,5,0.2727272727272727
SUNNY HILLS HIGH SCHOOL,Fullerton,Orange,104,19,8,0.18269230769230768
SUNSET HIGH SCHOOL,Portland,OR,30,12,6,0.4
SYLMAR HIGH SCHOOL,Sylmar,Los Angeles,21,5,4,0.23809523809523808
TAMALPAIS HIGH SCHOOL,Mill Valley,Marin,119,19,13,0.15966386554621848
TANGLIN TRUST SCHOOL LTD,nan,nan,11,3,3,0.2727272727272727
TARBUT V TORAH CMNTY DAY SCHL,Irvine,Orange,20,7,3,0.35
TECHNOLOGY HIGH SCHOOL,Rohnert Park,Sonoma,17,5,3,0.29411764705882354
TEMPLE CITY HIGH SCHOOL,Temple City,Los Angeles,132,24,9,0.18181818181818182
TENNYSON HIGH SCHOOL,Hayward,Alameda,25,7,4,0.28
TERRA LINDA HIGH SCHOOL,San Rafael,Marin,51,9,4,0.17647058823529413
TESORO HIGH SCHOOL,Rancho San Margarit,Orange,92,21,10,0.22826086956521738
THEODORE ROOSEVELT SENIOR HS,Los Angeles,Los Angeles,16,6,3,0.375
THOMAS JEFFERSON HS SCI/TEC,Alexandria,VA,126,21,7,0.16666666666666666
THOMAS SPRIGG WOOTTON HS,Rockville,MD,49,14,4,0.2857142857142857
THOUSAND OAKS HIGH SCHOOL,Thousand Oaks,Ventura,52,8,4,0.15384615384615385
TORREY PINES HIGH SCHOOL,San Diego,San Diego,186,34,19,0.1827956989247312
TRABUCO HILLS HIGH SCHOOL,Mission Viejo,Orange,38,9,8,0.23684210526315788
TRACY JOINT UNION HIGH SCHOOL,Tracy,San Joaquin,51,14,7,0.27450980392156865
TRINITY CLASSICAL ACADEMY,Valencia,Los Angeles,11,6,4,0.5454545454545454
TROY HIGH SCHOOL,Fullerton,Orange,246,45,21,0.18292682926829268
TULARE WESTERN HIGH SCHOOL,Tulare,Tulare,18,4,3,0.2222222222222222
TURLOCK HIGH SCHOOL,Turlock,Stanislaus,36,8,4,0.2222222222222222
UNION COUNTY MAGNET HS,Scotch Plains,NJ,12,6,4,0.5
UNITED KINGDOM,nan,nan,280,47,11,0.16785714285714284
