"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","LUZERNE","President of the United States","StateWide","Republican","ROMNEY, MITT","58,325","0","0","","","","","","","","",""
"2012 General Election","LUZERNE","President of the United States","StateWide","Democratic","OBAMA, BARACK","64,307","0","0","","","","","","","","",""
"2012 General Election","LUZERNE","President of the United States","StateWide","Green","STEIN, JILL","546","0","0","","","","","","","","",""
"2012 General Election","LUZERNE","President of the United States","StateWide","Libertarian","JOHNSON, GARY","1,261","0","0","","","","","","","","",""
"2012 General Election","LYCOMING","President of the United States","StateWide","Republican","ROMNEY, MITT","30,658","0","0","","","","","","","","",""
"2012 General Election","LYCOMING","President of the United States","StateWide","Democratic","OBAMA, BARACK","15,203","0","0","","","","","","","","",""
"2012 General Election","LYCOMING","President of the United States","StateWide","Green","STEIN, JILL","223","0","0","","","","","","","","",""
"2012 General Election","LYCOMING","President of the United States","StateWide","Libertarian","JOHNSON, GARY","409","0","0","","","","","","","","",""
"2012 General Election","McKEAN","President of the United States","StateWide","Republican","ROMNEY, MITT","9,545","0","0","","","","","","","","",""
"2012 General Election","McKEAN","President of the United States","StateWide","Democratic","OBAMA, BARACK","5,297","0","0","","","","","","","","",""
"2012 General Election","McKEAN","President of the United States","StateWide","Green","STEIN, JILL","88","0","0","","","","","","","","",""
"2012 General Election","McKEAN","President of the United States","StateWide","Libertarian","JOHNSON, GARY","178","0","0","","","","","","","","",""
"2012 General Election","MERCER","President of the United States","StateWide","Republican","ROMNEY, MITT","25,925","0","0","","","","","","","","",""
"2012 General Election","MERCER","President of the United States","StateWide","Democratic","OBAMA, BARACK","24,232","0","0","","","","","","","","",""
"2012 General Election","MERCER","President of the United States","StateWide","Green","STEIN, JILL","219","0","0","","","","","","","","",""
"2012 General Election","MERCER","President of the United States","StateWide","Libertarian","JOHNSON, GARY","487","0","0","","","","","","","","",""
"2012 General Election","MIFFLIN","President of the United States","StateWide","Republican","ROMNEY, MITT","11,939","0","0","","","","","","","","",""
"2012 General Election","MIFFLIN","President of the United States","StateWide","Democratic","OBAMA, BARACK","4,273","0","0","","","","","","","","",""
"2012 General Election","MIFFLIN","President of the United States","StateWide","Green","STEIN, JILL","52","0","0","","","","","","","","",""
"2012 General Election","MIFFLIN","President of the United States","StateWide","Libertarian","JOHNSON, GARY","107","0","0","","","","","","","","",""
"2012 General Election","MONROE","President of the United States","StateWide","Republican","ROMNEY, MITT","26,867","0","0","","","","","","","","",""
"2012 General Election","MONROE","President of the United States","StateWide","Democratic","OBAMA, BARACK","35,221","0","0","","","","","","","","",""
"2012 General Election","MONROE","President of the United States","StateWide","Green","STEIN, JILL","233","0","0","","","","","","","","",""
"2012 General Election","MONROE","President of the United States","StateWide","Libertarian","JOHNSON, GARY","596","0","0","","","","","","","","",""
"2012 General Election","MONTGOMERY","President of the United States","StateWide","Republican","ROMNEY, MITT","174,381","0","0","","","","","","","","",""
"2012 General Election","MONTGOMERY","President of the United States","StateWide","Democratic","OBAMA, BARACK","233,356","0","0","","","","","","","","",""
"2012 General Election","MONTGOMERY","President of the United States","StateWide","Green","STEIN, JILL","1,210","0","0","","","","","","","","",""
"2012 General Election","MONTGOMERY","President of the United States","StateWide","Libertarian","JOHNSON, GARY","3,253","0","0","","","","","","","","",""
"2012 General Election","MONTOUR","President of the United States","StateWide","Republican","ROMNEY, MITT","4,652","0","0","","","","","","","","",""
"2012 General Election","MONTOUR","President of the United States","StateWide","Democratic","OBAMA, BARACK","3,053","0","0","","","","","","","","",""
"2012 General Election","MONTOUR","President of the United States","StateWide","Green","STEIN, JILL","30","0","0","","","","","","","","",""
"2012 General Election","MONTOUR","President of the United States","StateWide","Libertarian","JOHNSON, GARY","96","0","0","","","","","","","","",""
"2012 General Election","NORTHAMPTON","President of the United States","StateWide","Republican","ROMNEY, MITT","61,446","0","0","","","","","","","","",""
"2012 General Election","NORTHAMPTON","President of the United States","StateWide","Democratic","OBAMA, BARACK","67,606","0","0","","","","","","","","",""
"2012 General Election","NORTHAMPTON","President of the United States","StateWide","Green","STEIN, JILL","495","0","0","","","","","","","","",""
"2012 General Election","NORTHAMPTON","President of the United States","StateWide","Libertarian","JOHNSON, GARY","1,188","0","0","","","","","","","","",""
"2012 General Election","NORTHUMBERLAND","President of the United States","StateWide","Republican","ROMNEY, MITT","19,518","0","0","","","","","","","","",""
"2012 General Election","NORTHUMBERLAND","President of the United States","StateWide","Democratic","OBAMA, BARACK","13,072","0","0","","","","","","","","",""
"2012 General Election","NORTHUMBERLAND","President of the United States","StateWide","Green","STEIN, JILL","200","0","0","","","","","","","","",""
"2012 General Election","NORTHUMBERLAND","President of the United States","StateWide","Libertarian","JOHNSON, GARY","422","0","0","","","","","","","","",""
"2012 General Election","PERRY","President of the United States","StateWide","Republican","ROMNEY, MITT","13,120","0","0","","","","","","","","",""
"2012 General Election","PERRY","President of the United States","StateWide","Democratic","OBAMA, BARACK","5,685","0","0","","","","","","","","",""
"2012 General Election","PERRY","President of the United States","StateWide","Green","STEIN, JILL","85","0","0","","","","","","","","",""
"2012 General Election","PERRY","President of the United States","StateWide","Libertarian","JOHNSON, GARY","238","0","0","","","","","","","","",""
"2012 General Election","PHILADELPHIA","President of the United States","StateWide","Republican","ROMNEY, MITT","96,467","0","0","","","","","","","","",""
"2012 General Election","PHILADELPHIA","President of the United States","StateWide","Democratic","OBAMA, BARACK","588,806","0","0","","","","","","","","",""
"2012 General Election","PHILADELPHIA","President of the United States","StateWide","Green","STEIN, JILL","2,162","0","0","","","","","","","","",""
"2012 General Election","PHILADELPHIA","President of the United States","StateWide","Libertarian","JOHNSON, GARY","2,892","0","0","","","","","","","","",""
"2012 General Election","PIKE","President of the United States","StateWide","Republican","ROMNEY, MITT","12,786","0","0","","","","","","","","",""
"2012 General Election","PIKE","President of the United States","StateWide","Democratic","OBAMA, BARACK","10,210","0","0","","","","","","","","",""
